Scheme Name       Net Asset Value
HDFC Banking and PSU Debt Fund - IDCW Option	10.2596
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0461
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	26.112
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3757
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3569
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.7678
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6234
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3296
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.8586
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0370
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.4072
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0355
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1051.369
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2474.4065
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.493
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1016.2346
Invesco India Banking and PSU Fund - Growth Option	2308.5899
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1067.3117
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.6367
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.6382
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.2672
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.2683
Kotak Banking and PSU Debt - Growth	66.7476
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.5403
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	69.6177
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2588
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3176
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.372
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.4514
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0629
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.3983
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.5268
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.2964
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3956
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.5133
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.5081
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.2004
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.2015
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	22.0093
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3998
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	22.0093
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.8510
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.9417
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3991
NIPPON INDIA BANKING and PSU FUND - IDCW Option	21.1840
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.7798
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.8792
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	22.0092
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	21.1840
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1492.0339
SBI BANKING & PSU FUND - Direct Plan - Growth	3387.3474
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1317.0382
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1488.7196
SBI BANKING & PSU FUND - Regular Paln - Growth	3183.7904
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1452.5325
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1232.7614
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1452.1868
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.6274
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1100
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.9841
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1465
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1325.4602
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1294.6006
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1162.6381
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1319.1427
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1153.1131
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1169.3849
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1130.3824
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1133.4011
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1240.9476
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1132.0638
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1141.9072
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1112.4368
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.4751
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.6488
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.8015
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.1305
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5594
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.9709
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.2185
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.0235
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.9605
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3229
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.3738
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.4027
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	117.2177
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.198
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9164
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8779
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.254
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6729
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2655
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.4435
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3775
Axis Corporate Bond Fund - Direct Plan Growth	18.5136
